title,company,location,description,skills,apply_link
Data Science Intern,Amazon,Hyderabad,"Assist in predictive modeling and analysis for business forecasting using Python and pandas.","Python, Pandas, Statistics, Machine Learning, NumPy",https://www.amazon.jobs/en/teams/university-tech
Software Developer Intern,Microsoft,Bangalore,"Develop microservices and contribute to open-source tools in the backend ecosystem.","C#, .NET, REST, SQL Server, Docker",https://careers.microsoft.com/students/us/en
Software Engineer Intern,Pinterest,Noida,"Work on feature engineering and product-scale systems in a global discovery platform.","Python, JavaScript, C++, HTML, CSS",https://www.pinterestcareers.com/early-career/university-recruiting/ :contentReference[oaicite:2]{index=2}
Backend Developer Intern,HCLTech,Dehradun,"Design scalable backend microservices and collaborate with cloud teams in an engineering services firm.","Java, Spring Boot, SQL, AWS, Git",https://www.hcltech.com/careers/careers-in-india :contentReference[oaicite:3]{index=3}
Cloud Solutions Intern,HCLTech,Delhi,"Assist deployment of cloud native solutions using Kubernetes and Azure in large-scale enterprise projects.","Azure, Kubernetes, Docker, Python, DevOps",https://www.hcltech.com/careers/careers-in-india :contentReference[oaicite:4]{index=4}
Product Data Science Intern,Pinterest,Delhi,"Analyze user behaviour and build recommendation algorithms for visual discovery platform at scale.","Data Science, SQL, Machine Learning, Python, A/B Testing",https://www.pinterestcareers.com/early-career/university-recruiting/ :contentReference[oaicite:5]{index=5}
Security Engineering Intern,HCLTech,Noida,"Work on cybersecurity tools and tests for enterprise cloud applications, ensuring compliance and monitoring.","Cybersecurity, Python, Linux, Network Security, Penetration Testing",https://www.hcltech.com/careers/careers-in-india :contentReference[oaicite:6]{index=6}
Software Engineer Intern,Meta,Delhi,"Work on backend systems for social media platforms, collaborate with product and infrastructure teams.","Python, Java, REST API, Distributed Systems, SQL",https://metacareers.com/jobs/
Data Science Intern,Deloitte,Noida,"Assist in analytics and forecasting models for clients using big data techniques.","Python, R, SQL, Data Visualization, Machine Learning",https://jobs2.deloitte.com/in/en
Frontend Intern,Pinterest,Dehradun,"Create interactive UI components for visual discovery and personalization features.","React.js, HTML, CSS, JavaScript, UX",https://www.pinterestcareers.com/early-career/university-recruiting/
AI Research Intern,Uber,Noida,"Develop next-gen algorithms in machine learning and reinforcement learning for mobility solutions.","Python, TensorFlow, Reinforcement Learning, Data Science, SQL",https://www.uber.com/careers/list/
Cloud Engineer Intern,Facebook,Delhi,"Assist cloud operations team in optimizing systems and ensuring scalability & reliability.","AWS, Azure, Kubernetes, Python, Linux",https://www.facebookcareers.com/jobs/
Backend Developer Intern,HCLTech,Dehradun,"Develop microservices and manage APIs as part of the enterprise services team.","Java, Spring Boot, SQL, Docker, Git",https://www.hcltech.com/careers/careers-in-india
Cybersecurity Analyst Intern,Deloitte,Delhi,"Monitor and respond to security incidents and support vulnerability assessments for enterprise clients.","Cybersecurity, Python, Linux, Network Security, SIEM",https://jobs2.deloitte.com/in/en
Mobile App Developer Intern,Meta,Noida,"Build mobile applications and integrate backend services for social media platforms.","Kotlin, Java, Android SDK, REST API, Firebase",https://metacareers.com/jobs/
Data Engineer Intern,Uber,Delhi,"Design ETL pipelines and manage large-scale data warehouses for mobility insights.","Python, SQL, Hadoop, Spark, Data Pipeline",https://www.uber.com/careers/list/
Product Management Intern,HCLTech,Noida,"Work with product teams to define features and drive execution in tech-services offerings.","Agile, Jira, Excel, SQL, Stakeholder Management",https://www.hcltech.com/careers/careers-in-india
